The king admired the queen .	* king ( x _ 1 ) ; * queen ( x _ 4 ) ; admire . agent ( x _ 2 , x _ 1 ) AND admire . theme ( x _ 2 , x _ 4 )
The king on the throne admired the queen .	* king ( x _ 1 ) ; * throne ( x _ 4 ) ; * queen ( x _ 7 ) ; king . nmod . on ( x _ 1 , x _ 4 ) AND admire . agent ( x _ 5 , x _ 1 ) AND admire . theme ( x _ 5 , x _ 7 )
The king that danced admired the queen .	* king ( x _ 1 ) ; * queen ( x _ 6 ) ; king . nmod ( x _ 1 , x _ 3 ) AND dance . agent ( x _ 3 , x _ 1 ) AND admire . agent ( x _ 4 , x _ 1 ) AND admire . theme ( x _ 4 , x _ 6 )
The king that the president kissed admired the queen .	* king ( x _ 1 ) ; * president ( x _ 4 ) ; * queen ( x _ 8 ) ; king . nmod ( x _ 1 , x _ 5 ) AND kiss . agent ( x _ 5 , x _ 4 ) AND kiss . theme ( x _ 5 , x _ 1 ) AND admire . agent ( x _ 6 , x _ 1 ) AND admire . theme ( x _ 6 , x _ 8 )
The king that kissed the pizza that was eaten admired the queen .	* king ( x _ 1 ) ; * pizza ( x _ 5 ) ; * queen ( x _ 11 ) ; king . nmod ( x _ 1 , x _ 3 ) AND kiss . theme ( x _ 3 , x _ 5 ) AND kiss . theme ( x _ 3 , x _ 1 ) AND pizza . nmod ( x _ 5 , x _ 8 ) AND eat . theme ( x _ 8 , x _ 5 ) AND admire . agent ( x _ 9 , x _ 1 ) AND admire . theme ( x _ 9 , x _ 11 )
The king that the president that the poet hugged kissed admired the queen .	* king ( x _ 1 ) ; * president ( x _ 4 ) ; * poet ( x _ 7 ) ; * queen ( x _ 12 ) ; king . nmod ( x _ 1 , x _ 9 ) AND president . nmod ( x _ 4 , x _ 8 ) AND hug . agent ( x _ 8 , x _ 7 ) AND hug . theme ( x _ 8 , x _ 4 ) AND kiss . agent ( x _ 9 , x _ 4 ) AND kiss . theme ( x _ 9 , x _ 1 ) AND admire . agent ( x _ 10 , x _ 1 ) AND admire . theme ( x _ 10 , x _ 12 )
The bear called a friend .	* bear ( x _ 1 ) ; call . agent ( x _ 2 , x _ 1 ) AND call . theme ( x _ 2 , x _ 4 ) AND friend ( x _ 4 )
The bear on the podium called a friend .	* bear ( x _ 1 ) ; * podium ( x _ 4 ) ; bear . nmod . on ( x _ 1 , x _ 4 ) AND call . agent ( x _ 5 , x _ 1 ) AND call . theme ( x _ 5 , x _ 7 ) AND friend ( x _ 7 )
The bear that laughed called a friend .	* bear ( x _ 1 ) ; bear . nmod ( x _ 1 , x _ 3 ) AND laugh . agent ( x _ 3 , x _ 1 ) AND call . agent ( x _ 4 , x _ 1 ) AND call . theme ( x _ 4 , x _ 6 ) AND friend ( x _ 6 )
The bear that the duke trusted called a friend .	* bear ( x _ 1 ) ; * duke ( x _ 4 ) ; bear . nmod ( x _ 1 , x _ 5 ) AND trust . agent ( x _ 5 , x _ 4 ) AND trust . theme ( x _ 5 , x _ 1 ) AND call . agent ( x _ 6 , x _ 1 ) AND call . theme ( x _ 6 , x _ 8 ) AND friend ( x _ 8 )
