The scientist observed the butterfly .	* scientist ( x _ 1 ) ; * butterfly ( x _ 4 ) ; observe . agent ( x _ 2 , x _ 1 ) AND observe . theme ( x _ 2 , x _ 4 )
The scientist on the counter observed the butterfly .	* scientist ( x _ 1 ) ; * counter ( x _ 4 ) ; * butterfly ( x _ 7 ) ; scientist . nmod . on ( x _ 1 , x _ 4 ) AND observe . agent ( x _ 5 , x _ 1 ) AND observe . theme ( x _ 5 , x _ 7 )
The scientist that sneezed observed the butterfly .	* scientist ( x _ 1 ) ; * butterfly ( x _ 6 ) ; scientist . nmod ( x _ 1 , x _ 3 ) AND sneeze . agent ( x _ 3 , x _ 1 ) AND observe . agent ( x _ 4 , x _ 1 ) AND observe . theme ( x _ 4 , x _ 6 )
The scientist that the journalist met observed the butterfly .	* scientist ( x _ 1 ) ; * journalist ( x _ 4 ) ; * butterfly ( x _ 8 ) ; scientist . nmod ( x _ 1 , x _ 5 ) AND meet . agent ( x _ 5 , x _ 4 ) AND meet . theme ( x _ 5 , x _ 1 ) AND observe . agent ( x _ 6 , x _ 1 ) AND observe . theme ( x _ 6 , x _ 8 )
The scientist that noticed the pickle that was eaten by the judge observed the butterfly .	* scientist ( x _ 1 ) ; * pickle ( x _ 5 ) ; * judge ( x _ 11 ) ; * butterfly ( x _ 14 ) ; scientist . nmod ( x _ 1 , x _ 3 ) AND notice . theme ( x _ 3 , x _ 5 ) AND notice . theme ( x _ 3 , x _ 1 ) AND pickle . nmod ( x _ 5 , x _ 8 ) AND eat . theme ( x _ 8 , x _ 5 ) AND eat . agent ( x _ 8 , x _ 11 ) AND observe . agent ( x _ 12 , x _ 1 ) AND observe . theme ( x _ 12 , x _ 14 )
The scientist that the journalist that the boy trained met observed the butterfly .	* scientist ( x _ 1 ) ; * journalist ( x _ 4 ) ; * boy ( x _ 7 ) ; * butterfly ( x _ 12 ) ; scientist . nmod ( x _ 1 , x _ 9 ) AND journalist . nmod ( x _ 4 , x _ 8 ) AND train . agent ( x _ 8 , x _ 7 ) AND train . theme ( x _ 8 , x _ 4 ) AND meet . agent ( x _ 9 , x _ 4 ) AND meet . theme ( x _ 9 , x _ 1 ) AND observe . agent ( x _ 10 , x _ 1 ) AND observe . theme ( x _ 10 , x _ 12 )
The captain discovered the hero .	* captain ( x _ 1 ) ; * hero ( x _ 4 ) ; discover . agent ( x _ 2 , x _ 1 ) AND discover . theme ( x _ 2 , x _ 4 )
The captain in the bookstore discovered the hero .	* captain ( x _ 1 ) ; * bookstore ( x _ 4 ) ; * hero ( x _ 7 ) ; captain . nmod . in ( x _ 1 , x _ 4 ) AND discover . agent ( x _ 5 , x _ 1 ) AND discover . theme ( x _ 5 , x _ 7 )
The captain that ran discovered the hero .	* captain ( x _ 1 ) ; * hero ( x _ 6 ) ; captain . nmod ( x _ 1 , x _ 3 ) AND run . agent ( x _ 3 , x _ 1 ) AND discover . agent ( x _ 4 , x _ 1 ) AND discover . theme ( x _ 4 , x _ 6 )
The captain that the lawyer followed discovered the hero .	* captain ( x _ 1 ) ; * lawyer ( x _ 4 ) ; * hero ( x _ 8 ) ; captain . nmod ( x _ 1 , x _ 5 ) AND follow . agent ( x _ 5 , x _ 4 ) AND follow . theme ( x _ 5 , x _ 1 ) AND discover . agent ( x _ 6 , x _ 1 ) AND discover . theme ( x _ 6 , x _ 8 )
The captain that recognized the guitar that was sketched by the princess discovered the hero .	* captain ( x _ 1 ) ; * guitar ( x _ 5 ) ; * princess ( x _ 11 ) ; * hero ( x _ 14 ) ; captain . nmod ( x _ 1 , x _ 3 ) AND recognize . theme ( x _ 3 , x _ 5 ) AND recognize . theme ( x _ 3 , x _ 1 ) AND guitar . nmod ( x _ 5 , x _ 8 ) AND sketch . theme ( x _ 8 , x _ 5 ) AND sketch . agent ( x _ 8 , x _ 11 ) AND discover . agent ( x _ 12 , x _ 1 ) AND discover . theme ( x _ 12 , x _ 14 )
The captain that the lawyer that the queen helped followed discovered the hero .	* captain ( x _ 1 ) ; * lawyer ( x _ 4 ) ; * queen ( x _ 7 ) ; * hero ( x _ 12 ) ; captain . nmod ( x _ 1 , x _ 9 ) AND lawyer . nmod ( x _ 4 , x _ 8 ) AND help . agent ( x _ 8 , x _ 7 ) AND help . theme ( x _ 8 , x _ 4 ) AND follow . agent ( x _ 9 , x _ 4 ) AND follow . theme ( x _ 9 , x _ 1 ) AND discover . agent ( x _ 10 , x _ 1 ) AND discover . theme ( x _ 10 , x _ 12 )
The doctor respected the teacher .	* doctor ( x _ 1 ) ; * teacher ( x _ 4 ) ; respect . agent ( x _ 2 , x _ 1 ) AND respect . theme ( x _ 2 , x _ 4 )
The doctor on the road respected the teacher .	* doctor ( x _ 1 ) ; * road ( x _ 4 ) ; * teacher ( x _ 7 ) ; doctor . nmod . on ( x _ 1 , x _ 4 ) AND respect . agent ( x _ 5 , x _ 1 ) AND respect . theme ( x _ 5 , x _ 7 )
The doctor that laughed respected the teacher .	* doctor ( x _ 1 ) ; * teacher ( x _ 6 ) ; doctor . nmod ( x _ 1 , x _ 3 ) AND laugh . agent ( x _ 3 , x _ 1 ) AND respect . agent ( x _ 4 , x _ 1 ) AND respect . theme ( x _ 4 , x _ 6 )
The doctor that the captain followed respected the teacher .	* doctor ( x _ 1 ) ; * captain ( x _ 4 ) ; * teacher ( x _ 8 ) ; doctor . nmod ( x _ 1 , x _ 5 ) AND follow . agent ( x _ 5 , x _ 4 ) AND follow . theme ( x _ 5 , x _ 1 ) AND respect . agent ( x _ 6 , x _ 1 ) AND respect . theme ( x _ 6 , x _ 8 )
The doctor that believed the game that was painted by the captain respected the teacher .	* doctor ( x _ 1 ) ; * game ( x _ 5 ) ; * captain ( x _ 11 ) ; * teacher ( x _ 14 ) ; doctor . nmod ( x _ 1 , x _ 3 ) AND believe . theme ( x _ 3 , x _ 5 ) AND believe . theme ( x _ 3 , x _ 1 ) AND game . nmod ( x _ 5 , x _ 8 ) AND paint . theme ( x _ 8 , x _ 5 ) AND paint . agent ( x _ 8 , x _ 11 ) AND respect . agent ( x _ 12 , x _ 1 ) AND respect . theme ( x _ 12 , x _ 14 )
The doctor that the captain that the kid trusted followed respected the teacher .	* doctor ( x _ 1 ) ; * captain ( x _ 4 ) ; * kid ( x _ 7 ) ; * teacher ( x _ 12 ) ; doctor . nmod ( x _ 1 , x _ 9 ) AND captain . nmod ( x _ 4 , x _ 8 ) AND trust . agent ( x _ 8 , x _ 7 ) AND trust . theme ( x _ 8 , x _ 4 ) AND follow . agent ( x _ 9 , x _ 4 ) AND follow . theme ( x _ 9 , x _ 1 ) AND respect . agent ( x _ 10 , x _ 1 ) AND respect . theme ( x _ 10 , x _ 12 )
The captain watched the hero .	* captain ( x _ 1 ) ; * hero ( x _ 4 ) ; watch . agent ( x _ 2 , x _ 1 ) AND watch . theme ( x _ 2 , x _ 4 )
The captain beside the sculpture watched the hero .	* captain ( x _ 1 ) ; * sculpture ( x _ 4 ) ; * hero ( x _ 7 ) ; captain . nmod . beside ( x _ 1 , x _ 4 ) AND watch . agent ( x _ 5 , x _ 1 ) AND watch . theme ( x _ 5 , x _ 7 )
